sno,uni_fk,aqi,co,no2,so2,nh3,latitude,longitude,currency,geohash,drive_in,speed_in,timezone,what3words,city,state,address
811,6181,0,NULL,NULL,NULL,NULL,31.301,121.5,CNY,wtw6hf1vvc98hu32ksgv,right,km/h,CST,hacking.helpers.bars,"Yangpu District",,"Fudan University, 220 Handan Road, 五角场, 200433 Yangpu District, China"
812,6183,0,NULL,NULL,NULL,NULL,-33.8889,151.189,AUD,r3gx0qsyc1uevbxcbgb8,left,km/h,AEDT,smooth.slave.native,Sydney,"New South Wales","The University of Sydney, Darlington Lane, Darlington NSW 2006, Australia"
813,6184,0,NULL,NULL,NULL,NULL,-33.9176,151.231,AUD,r3gx137pxm3b9rhmt9yt,left,km/h,AEDT,arts.decreased.tile,Sydney,"New South Wales","University of New South Wales, College Walk, Kensington NSW 2033, Australia"
814,6185,0,NULL,NULL,NULL,NULL,51.5138,-0.116669,GBP,gcpvj3g19mt3mcrftk5d,left,mph,GMT,learns.defend.warm,London,England,"London School of Economics and Political Science (LSE), Houghton Street, London, WC2, United Kingdom"
815,6186,0,NULL,NULL,NULL,NULL,32.8776,-117.227,USD,9mueh3nnj618e8fq9jrh,right,mph,PST,silly.sticks.kite,"San Diego",California,"UCSD Jacobs Medical Center Rooftop Heliport, Medical Center Drive, San Diego, CA 92093-0068, United States of America"
816,6187,0,NULL,NULL,NULL,NULL,22.4191,114.207,HKD,wecpwc6bgfchp81z3b16,left,km/h,HKT,brick.awoke.eminent,,,"The Chinese University of Hong Kong, Hong Kong"
817,6188,0,NULL,NULL,NULL,NULL,-27.4974,153.013,AUD,r7hg9fhzcmb8pscjwejd,left,km/h,AEST,jump.goad.buck,"Brisbane City",Queensland,"The University of Queensland, UQ Lakes Walkway, St Lucia QLD 4072, Australia"
818,6189,0,NULL,NULL,NULL,NULL,40.4442,-79.9427,USD,dppnhfekrxkhgxz2mpsy,right,mph,EST,wheels.steps.trap,Pittsburgh,Pennsylvania,"Carnegie Mellon University, Schenley Drive Extension, Pittsburgh, PA 15213, United States of America"
819,6190,0,NULL,NULL,NULL,NULL,51.4576,-2.60162,GBP,gcnhsz9d3f70c609f2h8,left,mph,GMT,defend.ending.gets,Bristol,England,"University of Bristol, Park Row, Bristol, BS1 5LP, United Kingdom"
820,6191,0,NULL,NULL,NULL,NULL,51.9988,4.37396,EUR,u15pgd150evprekrz3pq,right,km/h,CET,plant.improves.foam,Delft,"South Holland","Delft University of Technology, Delfgauwseweg, Delft, Netherlands"
821,6192,0,NULL,NULL,NULL,NULL,49.2584,-123.247,CAD,c2b25rnwfqpuntv892du,right,km/h,PST,humidity.coffee.rehearsal,"Electoral Area A","British Columbia","University of British Columbia, Shrum Lane, Electoral Area A, BC V6S 0B3, Canada"
822,6193,0,NULL,NULL,NULL,NULL,22.34,114.17,HKD,wecpjfzgfyh9xmg5tb9r,left,km/h,HKT,waters.ooze.aware,Kowloon,"Hong Kong","City University of Hong Kong, Tat Hong Avenue, Tai Wo Ping, Hong Kong, China"
823,6194,0,NULL,NULL,NULL,NULL,56.3952,-3.43139,GBP,gfj8cfmmfyfpj3k7xnrd,left,mph,GMT,keep.offer.spice,,Scotland,"Perth, Perth and Kinross, Scotland, United Kingdom"
824,6195,0,NULL,NULL,NULL,NULL,29.9102,121.631,CNY,wtq6pubzmgydrn57m2d1,right,km/h,CST,carriage.apes.devours,"Zhenhai District",Zhejiang,"Ningbo University, 庄市大道, 庄市街道, 315201 Zhejiang, China"
825,6197,0,NULL,NULL,NULL,NULL,43.0798,-89.4307,USD,dp8mhfqw4qp8b016pn91,right,mph,CST,doll.share.state,Madison,Wisconsin,"University of Wisconsin-Madison, Vista Road, Madison, WI 53726, United States of America"
826,6198,0,NULL,NULL,NULL,NULL,41.8269,-71.4012,USD,drmjznr5nmscfc187ymp,right,mph,EST,cover.deep.music,Providence,"Rhode Island","Brown University, Waterman Street, Providence, RI 02912, United States of America"
827,6199,0,NULL,NULL,NULL,NULL,-37.784,144.959,AUD,r1r149esmutu3pz2xmv1,left,km/h,AEDT,spike.scales.buck,Melbourne,Victoria,"Monash University, Walker Street, Parkville VIC 3056, Australia"
828,6200,0,NULL,NULL,NULL,NULL,35.605,139.683,JPY,xn76d99y7u0sbpvuxf17,left,km/h,JST,politics.tags.royally,Meguro,,"Tokyo Institute of Technology Ookayama Campus, Green Street, Midorigaoka 2-chome, Meguro, 152-0034, Japan"
829,6201,0,NULL,NULL,NULL,NULL,6.14801,1.23288,XOF,s10fup1yb0tcuk8gy8y7,right,km/h,GMT,searcher.shackles.feast,Lomé,,"Ecole polytechnique, Boulevard de la Paix, Lomé, Togo"
830,6202,0,NULL,NULL,NULL,NULL,31.2041,121.431,CNY,wtw3e0x1k2m9cqj4h571,right,km/h,CST,flannel.robots.faces,"Xuhui District",,"Jiao Tong University, Huashan Road, 天平路街道, 200030 Xuhui District, China"
831,6203,0,NULL,NULL,NULL,NULL,52.3813,-1.56396,GBP,gcqcurtpjpmjjshrrvfe,left,mph,GMT,safely.round.dash,Coventry,England,"University of Warwick, Gibbet Hill Road, Coventry, CV4, United Kingdom"
832,6205,0,NULL,NULL,NULL,NULL,52.3681,4.8898,EUR,u173zm2dkxw5ryenkzf7,right,km/h,CET,sketches.casually.testers,Amsterdam,"North Holland","University of Amsterdam, Spui, 1012 XA Amsterdam, Netherlands"
833,6206,0,NULL,NULL,NULL,NULL,30.2852,-97.7339,USD,9v6s21225npt53rxnmtt,right,mph,CST,sting.save.paradise,Austin,Texas,"University of Texas at Austin, 1, Austin, TX 78712, United States of America"
834,6207,0,NULL,NULL,NULL,NULL,49.4077,8.69079,EUR,u0y1jf2kw54eqg4j2cuj,right,km/h,CET,petty.securing.cartoons,,Baden-Württemberg,"Heidelberg, Baden-Württemberg, Germany"
835,6208,0,NULL,NULL,NULL,NULL,55.8723,-4.28922,GBP,gcuvy7hxvfqrm3ybzywj,left,mph,GMT,anyway.vines.fruit,Glasgow,Scotland,"University of Glasgow, Sutherland Lane, Glasgow, G12 8TD, United Kingdom"
836,6209,0,NULL,NULL,NULL,NULL,47.6543,-122.308,USD,c23p0g4n8cf6nyfej8qy,right,mph,PST,gravy.brave.swift,Seattle,Washington,"University of Washington, Mary Gates Memorial Drive Northeast, Seattle, WA 98105, United States of America"
837,6210,0,NULL,NULL,NULL,NULL,25.0168,121.538,TWD,wsqqmdjtedg1ut08s4j8,right,km/h,CST,embraced.this.closes,Taipei,,"National Taiwan University, 1 Section 4, Roosevelt Road, Zhongzheng District, Taipei 10617, Taiwan"
838,6211,0,NULL,NULL,NULL,NULL,3.12554,101.655,MYR,w283c0yzx646qhmt0khv,left,km/h,+08,love.teachers.chase,"Kuala Lumpur",Selangor,"University of Malaya, Jalan 17/1, Section 17, 50603 Kuala Lumpur, Selangor, Malaysia"
839,6212,0,NULL,NULL,NULL,NULL,40.2755,-111.679,USD,9x0t4evtud19f1ffbvmk,right,mph,MST,leans.appear.wounds,Orem,Utah,"Osaka, University Place, University Mall, Orem, UT 84604, United States of America"
840,6213,0,NULL,NULL,NULL,NULL,33.7723,-84.3946,USD,dn5bps1f04x58hrjcf37,right,mph,EST,scuba.arts.deserved,,Georgia,"Georgia Institute of Technology, Fulton County, Georgia, United States of America"
841,6214,0,NULL,NULL,NULL,NULL,-34.5087,-58.6884,ARS,69y78tbkjtuv95xdr74h,right,km/h,-03,followers.officer.ambition,,"Buenos Aires","Universidad de Buenos Aires, Partido de Malvinas Argentinas, 1614 Los Polvorines, Argentina"
842,6215,0,NULL,NULL,NULL,NULL,40.1006,-88.2313,USD,dp1k0hpftrkf462pkmnz,right,mph,CST,idea.boots.class,Champaign,Illinois,"University of Illinois at Urbana-Champaign, Boneyard Greenway, Champaign, IL 61820-4355, United States of America"
843,6216,0,NULL,NULL,NULL,NULL,47.4968,8.72981,CHF,u0qnnwsc5m252dwwsx25,right,km/h,CET,widget.model.reply,Winterthur,Zurich,"Zurich University of Applied Sciences, Mühlestrasse, 8402 Winterthur, Switzerland"
844,6217,0,NULL,NULL,NULL,NULL,48.8469,2.35745,EUR,u09tvsk9ud14ecvsqvce,right,km/h,CET,issuer.second.racks,Paris,Ile-de-France,"Sorbonne University, Rue des Boulangers, 75005 Paris, France"
845,6218,0,NULL,NULL,NULL,NULL,54.7686,-1.57209,GBP,gcwzs4r4rtm1vf0urvjx,left,mph,GMT,flying.friend.gets,Durham,England,"Palatine Reception, Palatine Centre Stockton Road, Durham, DH1 3LE, United Kingdom"
846,6219,0,NULL,NULL,NULL,NULL,53.3815,-1.48066,GBP,gcqzwmccfngwp3xh2v2c,left,mph,GMT,runner.caked.unit,Sheffield,England,"University of Sheffield, Red Hill, Sheffield, S1 4LZ, United Kingdom"
847,6220,0,NULL,NULL,NULL,NULL,51.2205,4.40463,EUR,u155khrm54x2kvg99m20,right,km/h,CET,puzzled.patch.wiggles,Antwerp,Antwerp,"Campus Carolus, Korte Nieuwstraat 33, 2000 Antwerp, Belgium"
848,6221,0,NULL,NULL,NULL,NULL,52.451,-1.92975,GBP,gcqdkh6v3xgyz474w4mv,left,mph,GMT,giving.foster.until,Birmingham,England,"University of Birmingham, Ring Road North, Metchley, B15 2TN, United Kingdom"
849,6222,0,NULL,NULL,NULL,NULL,55.6801,12.5723,DKK,u3buy06bkkq3x30h5dx8,right,km/h,CET,levels.classics.images,Copenhagen,Denmark,"University of Copenhagen, Krystalgade, 1172 København K, Denmark"
